kernel,C,UA_train_avg,WA_train_avg,UA_val_avg,WA_val_avg,UA_test,WA_test
linear,100.0,81.32,81.74,66.64000000000001,68.34,62.8,62.5
linear,10.0,81.58000000000001,82.0,66.9,68.62000000000002,62.8,62.5
linear,1.0,81.36000000000001,81.72,67.2,68.61999999999999,67.5,67.5
linear,0.1,80.88,81.46000000000001,67.0,68.34,69.9,70.0
linear,0.01,74.88,75.67999999999999,65.94,66.7,72.3,72.5
poly,100.0,100.0,100.0,71.92,74.84,64.2,65.0
poly,10.0,97.58,97.76000000000002,67.84,71.7,66.8,67.5
poly,1.0,89.66,90.32,68.0,71.16,61.5,62.5
poly,0.1,75.96,77.8,71.46000000000001,70.33999999999999,63.7,65.0
poly,0.01,50.440000000000005,53.760000000000005,50.0,44.54,50.0,52.5
rbf,100.0,100.0,100.0,67.98,71.42,62.3,62.5
rbf,10.0,99.42,99.44,71.86,74.75999999999999,67.3,67.5
rbf,1.0,92.04,92.44000000000001,73.1,75.36000000000001,67.0,67.5
rbf,0.1,74.92,76.46,71.2,71.17999999999999,64.2,65.0
rbf,0.01,50.0,53.36,50.0,44.54,50.0,52.5
